Title,Locality,Furnishing,Built_up_area,Lease_type,Available_from,Price,Bathrooms,Balcony,Carpet_area,Gas_Pipeline,Gate_Community,Floor_number,Total_floors
2.5 BHK Flat for Rent,"Tirumanahalli, Bangalore",Semi Furnished,1265,Family / Bachelor / Company,Available now,"42,006",2,1,795,Yes,Yes,3,24
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,"28,500",1,,600,Yes,Yes,5,7
2 BHK Flat for Rent,"Mahadevapura, Bangalore",Semi Furnished,1185,Family / Bachelor / Company,"Nov, 2025","38,000",2,1,850,No,No,3,4
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,1655,Family,Available now,"65,000",3,3,1304,No,Yes,26,30
1 RK Independent House for Rent,"Mahadevapura, Bangalore",Fully Furnished,400,Family / Bachelor,Available now,"18,000",1,1,,No,No,,
1 BHK Duplex for Rent,"Brookefield, Bangalore",Semi Furnished,700,Family / Bachelor,Available now,"32,000",1,1,650,No,No,1,6
1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,690,Family / Bachelor / Company,Available now,"18,000",1,1,600,No,Yes,3,4
4 BHK Penthouse for Rent,"Whitefield, Bangalore",Semi Furnished,4400,Family,Available now,"1,60,000",4,4,4000,No,Yes,18,18
4 BHK Independent House for Rent,"Cheemasandra, Bangalore",Unfurnished,4000,Family,"Jan, 2026","90,000",5,2,3900,No,Yes,1,4
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1350,,Available now,"50,000",3,,,No,No,,
1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"18,000",1,,500,No,No,3,4
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"18,000",1,,,No,No,5,6
2 BHK Flat for Rent,"Doddanekundi, Bangalore",Unfurnished,1250,Family / Bachelor / Company,Available now,"32,000",2,2,1249,No,Yes,4,5
2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,"22,999",2,1,550,No,No,2,5
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"38,000",1,1,,No,No,1,5
2 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,"40,000",2,1,900,No,Yes,1,5
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,Available now,"45,000",2,1,,Yes,Yes,13,26
1 BHK Flat for Rent,"Hebbal Kempapura, Byatarayanapura CMC And OG Part",Semi Furnished,600,Family / Bachelor,Available now,"17,000",1,,550,No,No,1,5
4 BHK Flat for Rent,"Nagavara, Bangalore",Semi Furnished,2980,Family / Company,Available now,"1,00,000",4,1,1890,No,Yes,12,34
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1300,Family,Available now,"37,100",3,1,1250,No,Yes,1,4
1 BHK Flat for Rent,"Uttarahalli -Manavarthekaval, Bangalore",Semi Furnished,584,Family / Bachelor / Company,Available now,"22,500",1,1,572,No,Yes,12,14
1 BHK Flat for Rent,"Kadugodi, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,"20,000",1,1,650,No,Yes,1,6
1 RK Studio for Rent,"BTM Layout, Bangalore",Fully Furnished,450,Family / Bachelor / Company,Available now,"15,000",1,,400,No,Yes,3,6
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1200,Family / Bachelor,"Oct, 2026","42,100",2,1,1100,Yes,Yes,3,6
4 BHK Flat for Rent,"Chokkanahalli, Bangalore",Semi Furnished,3000,Family / Bachelor,Available now,"85,000",4,3,,No,Yes,4,16
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"24,000",1,1,550,No,No,3,5
3 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,2400,Family / Bachelor,"Nov, 2025","80,000",3,1,2000,Yes,No,1,3
3 BHK Flat for Rent,"Whitefield, Bangalore",Fully Furnished,1500,Family / Bachelor,Available now,"65,000",2,2,,Yes,Yes,2,4
1.5 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,640,Family / Bachelor,"Dec, 2025","36,500",1,1,484,Yes,Yes,25,26
1 BHK Independent House for Rent,"Bettadasanapura, Bangalore",Semi Furnished,620,Family / Bachelor / Company,Available now,"15,100",1,1,600,No,No,,
1 BHK Flat for Rent,"Chinnapanna Halli, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"25,000",1,1,600,No,No,4,6
1 BHK Flat for Rent,"Chinnapanna Halli, Bangalore",Semi Furnished,700,Family,Available now,"30,000",1,2,650,No,No,3,6
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"22,000",1,1,600,No,No,4,6
1 BHK Flat for Rent,"Bellandur, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"26,000",1,1,600,No,No,5,5
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"30,000",1,1,600,No,No,3,6
1 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,690,Family / Bachelor / Company,Available now,"18,000",1,1,600,No,Yes,3,4
4 BHK Penthouse for Rent,"Whitefield, Bangalore",Semi Furnished,4400,Family,Available now,"1,60,000",4,4,4000,No,Yes,18,18
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Fully Furnished,1655,Family / Bachelor,Available now,"70,000",3,2,1490,No,Yes,25,26
2 BHK Flat for Rent,"Bommanahalli, Bangalore",Semi Furnished,1000,Family,Available now,"21,000",2,1,900,No,No,2,4
3 BHK Flat for Rent,"Volagerekallahalli, Bangalore",Semi Furnished,1898,Family,Available now,"50,000",4,2,1710,No,Yes,19,29
4 BHK Villa for Rent,"Dommasandra, Bangalore",Semi Furnished,1716,Family,Available now,"32,000",4,2,1545,No,Yes,,
1 BHK Independent Builder Floor for Rent,"Muneshwara Nagar, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"18,000",1,,500,No,No,3,4
2 BHK Flat for Rent,"Electronic City, Bangalore",Semi Furnished,1201,Family / Bachelor,Available now,"23,000",2,1,1080,No,No,1,5
1 BHK Flat for Rent,"Munnekollal, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"18,000",1,,,No,No,5,6
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,"35,000",2,1,1100,No,No,2,4
3 BHK Flat for Rent,"Electronic City, Bangalore",Fully Furnished,1193,Family / Bachelor,Available now,"44,000",2,2,1075,No,Yes,1,5
3 BHK Flat for Rent,"Begur, Bangalore",Fully Furnished,1543,Family / Bachelor,Available now,"42,000",3,2,1390,No,Yes,5,11
4 BHK Duplex for Rent,"HSR Layout, Bangalore",Fully Furnished,6005,Family,Available now,"3,90,000",5,2,5400,No,No,,
2 BHK Flat for Rent,"Doddanekundi, Bangalore",Unfurnished,1250,Family / Bachelor / Company,Available now,"32,000",2,2,1249,No,Yes,4,5
2 BHK Flat for Rent,"Hulimavu, Bangalore",Fully Furnished,1022,Family,Available now,"30,000",2,,920,No,Yes,2,3
2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,"22,999",2,1,550,No,No,2,5
2 BHK Independent Builder Floor for Rent,"Bommanahalli, Bangalore",Semi Furnished,600,Family / Bachelor / Company,Available now,"22,995",2,1,550,No,No,3,5
2 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1250,Family,Available now,"35,000",2,1,1200,No,No,4,6
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"38,000",1,1,,No,No,1,5
3 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,1650,Family,Available now,"38,000",3,2,1455,Yes,Yes,2,3
2 BHK Flat for Rent,"Allalasandra, Bangalore",Semi Furnished,1230,Family / Bachelor / Company,Available now,"28,000",2,2,1150,No,Yes,1,4
1 BHK Flat for Rent,"R.K. Hegde Nagar, Bangalore",Semi Furnished,585,Family / Bachelor,Available now,"16,000",1,1,510,No,No,,
2 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,980,Family / Bachelor,Available now,"40,000",2,1,900,No,Yes,1,5
2 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,1102,Family / Bachelor / Company,Available now,"45,000",2,1,,Yes,Yes,13,26
2 BHK Flat for Rent,"Carmelaram, Bangalore",Fully Furnished,1000,Family,Available now,"50,000",2,1,936,Yes,Yes,7,12
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Semi Furnished,1200,Family / Bachelor / Company,Available now,"21,999",1,,450,No,No,3,5
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Semi Furnished,1000,Family / Bachelor / Company,Available now,"22,999",1,,500,No,No,4,5
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"23,999",1,1,500,No,No,3,5
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,1000,Family / Bachelor / Company,Available now,"24,999",1,,450,No,No,3,5
1 BHK Flat for Rent,"Hebbal Kempapura, Byatarayanapura CMC And OG Part",Semi Furnished,600,Family / Bachelor,Available now,"17,000",1,,550,No,No,1,5
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,400,Family / Bachelor,Available now,"17,000",1,,,No,No,,
2 BHK Flat for Rent,"Bellandur, Bangalore",Fully Furnished,1043,Family / Bachelor,Available now,"39,000",2,1,903,No,Yes,3,5
1 BHK Independent Builder Floor for Rent,"BTM Layout, Bangalore",Fully Furnished,999,Family / Bachelor / Company,Available now,"24,999",1,,500,No,No,3,6
2 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1000,Family / Bachelor,Available now,"21,000",2,1,900,Yes,Yes,1,3
4 BHK Flat for Rent,"Nagavara, Bangalore",Semi Furnished,2980,Family / Company,Available now,"1,00,000",4,1,1890,No,Yes,12,34
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1009,Family / Company,Available now,"35,000",2,2,627,Yes,Yes,12,23
2 BHK Flat for Rent,"Kothanur, Bangalore",Semi Furnished,1000,Family / Bachelor,Available now,"25,000",2,1,900,Yes,Yes,1,4
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1009,Family / Company,Available now,"32,000",2,2,627,Yes,Yes,9,23
3 BHK Flat for Rent,"Narayanapura, Bangalore",Semi Furnished,1300,Family,Available now,"37,100",3,1,1250,No,Yes,1,4
2 BHK Flat for Rent,"Bellandur, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,Available now,"37,000",2,2,900,No,No,3,4
1 BHK Flat for Rent,"Uttarahalli -Manavarthekaval, Bangalore",Semi Furnished,584,Family / Bachelor / Company,Available now,"22,500",1,1,572,No,Yes,12,14
1 BHK Flat for Rent,"Kadugodi, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,"20,000",1,1,650,No,Yes,1,6
3 BHK Flat for Rent,"Thanisandra, Bangalore",Fully Furnished,2100,Family / Company,Available now,"65,000",3,2,1409,Yes,Yes,9,23
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,"61,000",2,1,1100,No,No,1,4
1 RK Studio for Rent,"BTM Layout, Bangalore",Fully Furnished,450,Family / Bachelor / Company,Available now,"15,000",1,,400,No,Yes,3,6
3.5 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,3544,Family / Company,Available now,"1,10,000",3,2,3000,No,Yes,,
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1200,Family / Bachelor,"Oct, 2026","42,100",2,1,1100,Yes,Yes,3,6
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2400,Family / Company,Available now,"69,000",3,2,1800,No,Yes,,
3 BHK Villa for Rent,"Anagalapura, Bangalore",Semi Furnished,2401,Family / Company,Available now,"74,000",3,2,1800,No,Yes,,
2 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1003,Family / Company,Available now,"34,000",2,2,790,No,Yes,8,21
4 BHK Flat for Rent,"Thanisandra, Bangalore",Fully Furnished,2259,Family / Bachelor / Company,Available now,"1,50,006",4,1,1542,Yes,Yes,11,33
4 BHK Flat for Rent,"Jakkur, Bangalore",Semi Furnished,2251,Family / Company,Available now,"1,00,000",4,1,1890,No,Yes,8,18
3 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1635,Family / Bachelor / Company,Available now,"55,002",3,1,1633,Yes,Yes,23,33
3 BHK Flat for Rent,"Thanisandra, Bangalore",Semi Furnished,1632,Family / Bachelor / Company,Available now,"55,000",3,1,1411,Yes,Yes,23,33
3 BHK Flat for Rent,"Kattigenahalli, Bangalore",Semi Furnished,1950,Family / Bachelor / Company,Available now,"40,002",3,2,1500,Yes,Yes,2,12
2.5 BHK Flat for Rent,"Kannuru, Bangalore",Fully Furnished,1265,Family / Bachelor / Company,Available now,"42,000",2,1,783,Yes,Yes,4,24
4 BHK Flat for Rent,"Chokkanahalli, Bangalore",Semi Furnished,3000,Family / Bachelor,Available now,"85,000",4,3,,No,Yes,4,16
1 BHK Flat for Rent,"Brookefield, Bangalore",Semi Furnished,600,Family / Bachelor,Available now,"24,000",1,1,550,No,No,3,5
3 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,2400,Family / Bachelor,"Nov, 2025","80,000",3,1,2000,Yes,No,1,3
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,550,Family / Bachelor,"Dec, 2025","17,000",1,1,,No,No,1,5
3 BHK Flat for Rent,"Whitefield, Bangalore",Fully Furnished,1500,Family / Bachelor,Available now,"65,000",2,2,,Yes,Yes,2,4
1.5 BHK Flat for Rent,"Varthur, Bangalore",Semi Furnished,640,Family / Bachelor,"Dec, 2025","36,500",1,1,484,Yes,Yes,25,26
2 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,1200,Family / Bachelor,Available now,"37,000",2,1,1100,Yes,Yes,2,4
1 BHK Independent House for Rent,"Bettadasanapura, Bangalore",Semi Furnished,620,Family / Bachelor / Company,Available now,"15,100",1,1,600,No,No,,
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025","19,000",1,,500,No,No,,
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,750,Family / Bachelor,Available now,"28,000",1,,650,No,No,2,4
2 BHK Flat for Rent,"Singasandra, Bangalore",Semi Furnished,1400,Family / Bachelor,Available now,"29,000",2,1,1350,Yes,No,2,6
2 BHK Flat for Rent,"Choodasandra, Bangalore",Semi Furnished,1100,Family / Bachelor,Available now,"25,000",2,1,900,No,No,3,5
2 BHK Flat for Rent,"Harlur, Bangalore",Semi Furnished,1050,Family,Available now,"45,000",2,1,980,Yes,Yes,3,5
2 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,1200,Family / Bachelor,"Dec, 2025","60,000",1,1,1100,No,No,4,5
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025","18,000",1,,500,No,No,,
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,650,Family,"Dec, 2025","19,000",1,1,,No,No,,
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor,Available now,"23,000",1,,,No,No,5,6
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,650,Family / Bachelor,Available now,"23,000",1,,,No,No,4,6
2 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,1150,Family / Bachelor,Available now,"33,000",2,1,,No,No,,
2 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,1350,Family / Bachelor,Available now,"37,000",2,1,1250,No,No,3,4
3 BHK Flat for Rent,"Gunjur Village, Bangalore",Semi Furnished,1697,Family / Bachelor,Available now,"57,000",3,3,1304,No,No,5,29
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,610,Family / Bachelor / Company,Available now,"25,000",1,,580,Yes,Yes,2,5
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor,Available now,"23,999",1,,550,Yes,Yes,3,5
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,550,Family / Bachelor / Company,Available now,"23,500",1,,510,Yes,Yes,4,6
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor,Available now,"30,000",1,,580,Yes,Yes,5,7
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,600,Family / Bachelor / Company,Available now,"24,000",1,1,590,Yes,Yes,4,7
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,690,Family / Bachelor,Available now,"28,999",1,1,560,Yes,Yes,4,5
1 BHK Flat for Rent,"S.G. Palya, Bangalore",Fully Furnished,620,Family / Bachelor / Company,Available now,"27,000",1,,600,Yes,Yes,4,6
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,710,Family / Bachelor,Available now,"31,000",1,1,,Yes,No,3,4
4 BHK Duplex for Rent,"Kasavanahalli, Bangalore",Semi Furnished,3470,Family / Bachelor,Available now,"1,10,000",4,3,,Yes,Yes,2,8
3 BHK Flat for Rent,"Harlur, Bangalore",Semi Furnished,3750,Family / Bachelor / Company,Available now,"98,000",3,2,,No,Yes,3,4
1 BHK Independent House for Rent,"Mahadevapura, Bangalore",Semi Furnished,600,Family / Bachelor / Company,"Dec, 2025","19,500",1,,500,No,No,,
1 BHK Independent Builder Floor for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor,"Dec, 2025","26,000",1,1,550,Yes,No,2,4
1 BHK Flat for Rent,"HSR Layout, Bangalore",Semi Furnished,650,Family / Bachelor / Company,Available now,"25,000",1,1,600,No,No,2,5
2 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,900,Family / Bachelor,"Dec, 2025","29,000",2,,,No,No,3,5
1 RK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,480,Family / Bachelor / Company,Available now,"15,000",1,,400,No,Yes,3,6
2 BHK Flat for Rent,"Konadasapura, Bangalore",Semi Furnished,1100,Family / Bachelor / Company,Available now,"26,500",3,1,1050,No,Yes,1,14
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,"26,000",1,,650,No,Yes,2,6
1 BHK Flat for Rent,"BTM Layout, Bangalore",Fully Furnished,700,Family / Bachelor / Company,Available now,"26,000",1,,650,No,Yes,3,6
2 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,900,Family / Bachelor,Available now,"26,000",2,2,,No,No,2,5
1 BHK Independent Builder Floor for Rent,"Whitefield, Bangalore",Semi Furnished,600,Bachelor,"Dec, 2025","16,500",1,,,No,No,2,4
1 BHK Flat for Rent,"Whitefield, Bangalore",Semi Furnished,650,Family / Bachelor,Available now,"19,000",1,1,,No,No,4,6
3 BHK Flat for Rent,"Hebbal Kempapura, Bangalore",Semi Furnished,2927,Family / Bachelor,Available now,"85,000",3,3,,No,Yes,3,13
